Timestamp,Packet Length,Src IP,Dst IP,TTL,Protocol,Src Port,Dst Port,TCP Flags,TCP Window Size,TLS Version,TLS Content Type,TLS Record Length,Flow Hash,Packet Inter-arrival Time
1741283000.527351,55,10.100.102.3,40.99.44.18,128,TCP,60742,443,ACK,511,,,,6273460240494135789,0.0
1741283000.534685,66,40.99.44.18,10.100.102.3,114,TCP,443,60742,ACK,16385,,,,-4769060027936309312,0.007333993911743164
1741283001.92036,55,10.100.102.3,142.250.75.35,128,TCP,62135,80,ACK,508,,,,-5619989499470803087,1.3856751918792725
1741283001.92796,66,142.250.75.35,10.100.102.3,122,TCP,80,62135,ACK,1052,,,,3443933066561312357,0.007599830627441406
1741283001.983098,55,10.100.102.3,62.0.96.138,128,TCP,62139,80,ACK,512,,,,-4941165050028004132,0.05513811111450195
1741283001.988243,66,62.0.96.138,10.100.102.3,60,TCP,80,62139,ACK,501,,,,-3435216332755916925,0.005145072937011719
1741283002.014206,55,10.100.102.3,142.250.75.35,128,TCP,62137,80,ACK,508,,,,-4274520738144683659,0.02596282958984375
1741283002.023228,66,142.250.75.35,10.100.102.3,123,TCP,80,62137,ACK,1052,,,,7954879143879335371,0.009021997451782227
1741283002.061449,55,10.100.102.3,62.0.96.139,128,TCP,62144,80,ACK,512,,,,-8300645318061699499,0.038221120834350586
1741283002.066151,66,62.0.96.139,10.100.102.3,60,TCP,80,62144,ACK,501,,,,-6046206977698729782,0.004701852798461914
1741283002.277457,74,10.100.102.3,10.100.102.1,128,UDP,63144,53,,,,,,-3805754264989649326,0.21130609512329102
1741283002.277506,74,10.100.102.3,10.100.102.1,128,UDP,51171,53,,,,,,6048053854741726422,4.9114227294921875e-05
1741283002.277545,74,10.100.102.3,10.100.102.1,128,UDP,53409,53,,,,,,-3798765487535909416,3.886222839355469e-05
1741283002.283897,90,10.100.102.1,10.100.102.3,64,UDP,53,63144,,,,,,-4638145856035737177,0.006351947784423828
1741283002.284181,143,10.100.102.1,10.100.102.3,64,UDP,53,51171,,,,,,-2850154441958870207,0.0002841949462890625
1741283002.284181,102,10.100.102.1,10.100.102.3,64,UDP,53,53409,,,,,,-3711265672803967554,0.0
1741283002.284937,74,10.100.102.3,10.100.102.1,128,UDP,56176,53,,,,,,-7600109716196654276,0.0007557868957519531
1741283002.285111,66,10.100.102.3,142.250.75.68,128,TCP,62156,443,SYN,64240,,,,7792726529433943056,0.00017404556274414062
1741283002.289546,90,10.100.102.1,10.100.102.3,64,UDP,53,56176,,,,,,4642094664349143243,0.004435062408447266
1741283002.289546,66,142.250.75.68,10.100.102.3,123,TCP,443,62156,SYN+ACK,65535,,,,-4331750089457278219,0.0
1741283002.289615,54,10.100.102.3,142.250.75.68,128,TCP,62156,443,ACK,512,,,,7792726529433943056,6.890296936035156e-05
1741283002.289788,74,10.100.102.3,10.100.102.1,128,UDP,64713,53,,,,,,2905030393936408966,0.00017309188842773438
1741283002.290179,1466,10.100.102.3,142.250.75.68,128,TCP,62156,443,ACK,512,TLS 1.0,Handshake,1894,7792726529433943056,0.0003910064697265625
1741283002.290179,541,10.100.102.3,142.250.75.68,128,TCP,62156,443,PSH+ACK,512,,,,7792726529433943056,0.0
1741283002.293735,102,10.100.102.1,10.100.102.3,64,UDP,53,64713,,,,,,-3341322723128409341,0.0035560131072998047
1741283002.294621,66,142.250.75.68,10.100.102.3,123,TCP,443,62156,ACK,1054,,,,-4331750089457278219,0.0008859634399414062
1741283002.294621,54,142.250.75.68,10.100.102.3,123,TCP,443,62156,ACK,1047,,,,-4331750089457278219,0.0
1741283002.312572,55,10.100.102.3,62.0.96.139,128,TCP,62143,80,ACK,516,,,,-7920640851020631225,0.017951011657714844
1741283002.318324,66,62.0.96.139,10.100.102.3,60,TCP,80,62143,ACK,501,,,,2979969832768797269,0.005752086639404297
1741283002.34718,1466,142.250.75.68,10.100.102.3,123,TCP,443,62156,ACK,1047,TLS 1.2,Application Data,3960,-4331750089457278219,0.02885580062866211
1741283002.34718,1466,142.250.75.68,10.100.102.3,123,TCP,443,62156,ACK,1047,,,,-4331750089457278219,0.0
1741283002.34718,1466,142.250.75.68,10.100.102.3,123,TCP,443,62156,ACK,1047,,,,-4331750089457278219,0.0
1741283002.34718,1004,142.250.75.68,10.100.102.3,123,TCP,443,62156,PSH+ACK,1047,,,,-4331750089457278219,0.0
1741283002.347227,54,10.100.102.3,142.250.75.68,128,TCP,62156,443,ACK,512,,,,7792726529433943056,4.7206878662109375e-05
1741283002.352845,512,10.100.102.3,142.250.75.35,128,TCP,62135,80,PSH+ACK,508,,,,-5619989499470803087,0.005617856979370117
1741283002.358898,56,142.250.75.35,10.100.102.3,122,TCP,80,62135,ACK,1051,,,,3443933066561312357,0.006052970886230469
1741283002.411868,755,142.250.75.35,10.100.102.3,122,TCP,80,62135,PSH+ACK,1051,,,,3443933066561312357,0.052970170974731445
1741283002.413399,118,10.100.102.3,142.250.75.68,128,TCP,62156,443,PSH+ACK,512,,,,7792726529433943056,0.0015308856964111328
1741283002.413851,146,10.100.102.3,142.250.75.68,128,TCP,62156,443,PSH+ACK,512,,,,7792726529433943056,0.0004520416259765625
1741283002.418247,56,142.250.75.68,10.100.102.3,123,TCP,443,62156,ACK,1047,,,,-4331750089457278219,0.004395961761474609
1741283002.418247,56,142.250.75.68,10.100.102.3,123,TCP,443,62156,ACK,1047,,,,-4331750089457278219,0.0
1741283002.418494,670,142.250.75.68,10.100.102.3,123,TCP,443,62156,PSH+ACK,1047,,,,-4331750089457278219,0.00024700164794921875
1741283002.418494,85,142.250.75.68,10.100.102.3,123,TCP,443,62156,PSH+ACK,1047,,,,-4331750089457278219,0.0
1741283002.418522,54,10.100.102.3,142.250.75.68,128,TCP,62156,443,ACK,510,,,,7792726529433943056,2.7894973754882812e-05
1741283002.419097,85,10.100.102.3,142.250.75.68,128,TCP,62156,443,PSH+ACK,510,,,,7792726529433943056,0.0005750656127929688
1741283002.430318,56,142.250.75.68,10.100.102.3,123,TCP,443,62156,ACK,1047,,,,-4331750089457278219,0.011221170425415039
1741283002.454244,54,10.100.102.3,142.250.75.35,128,TCP,62135,80,ACK,512,,,,-5619989499470803087,0.02392578125
1741283002.459479,66,10.100.102.3,142.250.75.68,128,TCP,62157,443,SYN,64240,,,,782321864791655374,0.005235195159912109
1741283002.46571,66,142.250.75.68,10.100.102.3,122,TCP,443,62157,SYN+ACK,65535,,,,4091080327973806061,0.006230831146240234
1741283002.46578,54,10.100.102.3,142.250.75.68,128,TCP,62157,443,ACK,512,,,,782321864791655374,7.009506225585938e-05
1741283002.466385,1466,10.100.102.3,142.250.75.68,128,TCP,62157,443,ACK,512,TLS 1.0,Handshake,1894,782321864791655374,0.0006048679351806641
1741283002.466385,541,10.100.102.3,142.250.75.68,128,TCP,62157,443,PSH+ACK,512,,,,782321864791655374,0.0
1741283002.474384,66,142.250.75.68,10.100.102.3,122,TCP,443,62157,ACK,1054,,,,4091080327973806061,0.007999181747436523
