Timestamp,Packet Length,Src IP,Dst IP,TTL,Protocol,Src Port,Dst Port,TCP Flags,TCP Window Size,TLS Version,TLS Content Type,TLS Record Length,Flow Hash,Packet Inter-arrival Time
1741283244.813944,1466,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,509,TLS 1.2,Application Data,3395,4333606903183652925,0.0
1741283244.813944,1466,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,509,,,,4333606903183652925,0.0
1741283244.813944,630,10.100.102.3,142.250.75.174,128,TCP,62372,443,PSH+ACK,509,,,,4333606903183652925,0.0
1741283244.814058,555,10.100.102.3,142.250.75.174,128,TCP,62372,443,PSH+ACK,509,,,,4333606903183652925,0.00011396408081054688
1741283244.819406,66,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,944,,,,-2086023516962570492,0.0053479671478271484
1741283244.819406,66,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,944,,,,-2086023516962570492,0.0
1741283244.819406,66,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,939,,,,-2086023516962570492,0.0
1741283244.819406,56,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,930,,,,-2086023516962570492,0.0
1741283244.88477,54,142.250.75.100,10.100.102.3,122,TCP,443,62365,FIN+ACK,1048,,,,9191747089765662921,0.06536388397216797
1741283244.884866,54,10.100.102.3,142.250.75.100,128,TCP,62365,443,ACK,512,,,,-6701636732021190468,9.608268737792969e-05
1741283244.908929,593,142.250.75.174,10.100.102.3,123,TCP,443,62372,PSH+ACK,930,,,,-2086023516962570492,0.0240631103515625
1741283244.908929,407,142.250.75.174,10.100.102.3,123,TCP,443,62372,PSH+ACK,930,,,,-2086023516962570492,0.0
1741283244.908986,54,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,512,,,,4333606903183652925,5.698204040527344e-05
1741283244.909425,89,10.100.102.3,142.250.75.174,128,TCP,62372,443,PSH+ACK,512,,,,4333606903183652925,0.00043892860412597656
1741283244.910464,85,142.250.75.174,10.100.102.3,123,TCP,443,62372,PSH+ACK,930,,,,-2086023516962570492,0.0010390281677246094
1741283244.910464,93,142.250.75.174,10.100.102.3,123,TCP,443,62372,PSH+ACK,930,,,,-2086023516962570492,0.0
1741283244.910496,54,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,512,,,,4333606903183652925,3.1948089599609375e-05
1741283244.911129,93,10.100.102.3,142.250.75.174,128,TCP,62372,443,PSH+ACK,512,,,,4333606903183652925,0.0006330013275146484
1741283244.914524,56,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,930,,,,-2086023516962570492,0.00339508056640625
1741283244.915658,56,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,930,,,,-2086023516962570492,0.0011339187622070312
1741283245.030316,1466,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,512,TLS 1.2,Application Data,3378,4333606903183652925,0.11465811729431152
1741283245.030316,1466,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,512,,,,4333606903183652925,0.0
1741283245.030316,613,10.100.102.3,142.250.75.174,128,TCP,62372,443,PSH+ACK,512,,,,4333606903183652925,0.0
1741283245.030446,1466,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,512,TLS 1.2,Application Data,1560,4333606903183652925,0.00012993812561035156
1741283245.030446,207,10.100.102.3,142.250.75.174,128,TCP,62372,443,PSH+ACK,512,,,,4333606903183652925,0.0
1741283245.038502,66,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,930,,,,-2086023516962570492,0.008055925369262695
1741283245.038502,74,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,930,,,,-2086023516962570492,0.0
1741283245.038502,74,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,925,,,,-2086023516962570492,0.0
1741283245.038502,66,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,918,,,,-2086023516962570492,0.0
1741283245.038502,56,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,912,,,,-2086023516962570492,0.0
1741283245.106419,567,142.250.75.174,10.100.102.3,123,TCP,443,62372,PSH+ACK,912,,,,-2086023516962570492,0.0679171085357666
1741283245.106419,268,142.250.75.174,10.100.102.3,123,TCP,443,62372,PSH+ACK,912,,,,-2086023516962570492,0.0
1741283245.106492,54,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,509,,,,4333606903183652925,7.295608520507812e-05
1741283245.107321,85,142.250.75.174,10.100.102.3,123,TCP,443,62372,PSH+ACK,912,,,,-2086023516962570492,0.0008289813995361328
1741283245.107321,93,142.250.75.174,10.100.102.3,123,TCP,443,62372,PSH+ACK,912,,,,-2086023516962570492,0.0
1741283245.107391,54,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,509,,,,4333606903183652925,7.009506225585938e-05
1741283245.10856,93,10.100.102.3,142.250.75.174,128,TCP,62372,443,PSH+ACK,509,,,,4333606903183652925,0.001168966293334961
1741283245.11948,56,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,912,,,,-2086023516962570492,0.010919809341430664
1741283245.364865,1466,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,509,TLS 1.2,Application Data,3376,4333606903183652925,0.24538516998291016
1741283245.364865,1466,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,509,,,,4333606903183652925,0.0
1741283245.364865,611,10.100.102.3,142.250.75.174,128,TCP,62372,443,PSH+ACK,509,,,,4333606903183652925,0.0
1741283245.364982,1466,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,509,TLS 1.2,Application Data,3369,4333606903183652925,0.00011682510375976562
1741283245.364982,1466,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,509,,,,4333606903183652925,0.0
1741283245.364982,604,10.100.102.3,142.250.75.174,128,TCP,62372,443,PSH+ACK,509,,,,4333606903183652925,0.0
1741283245.371544,56,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,907,,,,-2086023516962570492,0.006561994552612305
1741283245.371544,66,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,907,,,,-2086023516962570492,0.0
1741283245.371544,56,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,900,,,,-2086023516962570492,0.0
1741283245.371544,56,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,895,,,,-2086023516962570492,0.0
1741283245.371544,66,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,895,,,,-2086023516962570492,0.0
1741283245.371544,56,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,888,,,,-2086023516962570492,0.0
1741283245.485138,595,142.250.75.174,10.100.102.3,123,TCP,443,62372,PSH+ACK,888,,,,-2086023516962570492,0.11359405517578125
1741283245.485138,431,142.250.75.174,10.100.102.3,123,TCP,443,62372,PSH+ACK,888,,,,-2086023516962570492,0.0
1741283245.485138,85,142.250.75.174,10.100.102.3,123,TCP,443,62372,PSH+ACK,888,,,,-2086023516962570492,0.0
1741283245.485237,54,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,512,,,,4333606903183652925,9.894371032714844e-05
1741283245.485854,93,142.250.75.174,10.100.102.3,123,TCP,443,62372,PSH+ACK,888,,,,-2086023516962570492,0.0006170272827148438
1741283245.48591,54,10.100.102.3,142.250.75.174,128,TCP,62372,443,ACK,512,,,,4333606903183652925,5.602836608886719e-05
1741283245.487159,93,10.100.102.3,142.250.75.174,128,TCP,62372,443,PSH+ACK,512,,,,4333606903183652925,0.001249074935913086
1741283245.492072,56,142.250.75.174,10.100.102.3,123,TCP,443,62372,ACK,888,,,,-2086023516962570492,0.0049130916595458984
1741283245.759986,552,10.100.102.13,224.0.0.251,255,UDP,5353,5353,,,,,,-568251664023600447,0.267913818359375
1741283245.760636,572,fe80::183b:70c4:6790:e21c,ff02::fb,255,UDP,5353,5353,,,,,,1654412651819463516,0.0006501674652099609
1741283246.681517,552,10.100.102.13,224.0.0.251,255,UDP,5353,5353,,,,,,-568251664023600447,0.9208807945251465
1741283246.682262,572,fe80::183b:70c4:6790:e21c,ff02::fb,255,UDP,5353,5353,,,,,,1654412651819463516,0.0007450580596923828
1741283247.558481,808,10.100.102.3,142.250.75.174,128,UDP,53637,443,,,,,,-3493658259858217313,0.8762190341949463
1741283247.567196,72,142.250.75.174,10.100.102.3,60,UDP,443,53637,,,,,,-2079088735208457766,0.008714914321899414
1741283247.582704,75,10.100.102.3,142.250.75.174,128,UDP,53637,443,,,,,,-3493658259858217313,0.015508174896240234
1741283247.770963,71,10.100.102.3,142.250.75.174,128,UDP,53637,443,,,,,,-3493658259858217313,0.18825888633728027
1741283247.777211,68,142.250.75.174,10.100.102.3,60,UDP,443,53637,,,,,,-2079088735208457766,0.006247997283935547
1741283247.991067,71,10.100.102.3,142.250.75.174,128,UDP,53637,443,,,,,,-3493658259858217313,0.21385598182678223
